transactiondate,product,product_GBU,yearmth,customer_no,billto_customer_name,Extract_Number,customer_no_dupes,bill_to_custname_wo_dupes,st_customer_name,st_customer_no,invoice_no,invoice_type,revenue,cost,Quantity,sale_amount,Profit-Loss
1/4/2023,Koala,CI,202301,1078784,OM Owens & Minor,,1078784,OM Owens & Minor,WAKEMED - BULKWAKEMED RALEIGH STOREROOM,20168091,90374207,Invoice,1402.5,226.5,50,70125,69898.5
1/4/2023,Koala,CI,202301,1078784,OM Owens & Minor,,1078784,OM Owens & Minor,SANFORD HEALTH CENTERSANFORD HELT MED CNTR FARGO GS21,20168091,90374209,Invoice,1377.5,226.5,50,68875,68648.5
1/4/2023,Koala,CI,202301,1078784,OM Owens & Minor,,1078784,OM Owens & Minor,SENTARA PRINCESS ANNE HOS - BULKSENTARA PRINCESS ANNE HOS - BULK,20168091,90374210,Invoice,275.5,45.3,10,2755,2709.7
1/4/2023,Koala,CI,202301,1078784,OM Owens & Minor,,1078784,OM Owens & Minor,ST. ANTHONY SHAWNEE HOSPITALST. ANTHONY HOSPITAL SHAWNEE,20168091,90374212,Invoice,275.5,45.3,10,2755,2709.7
1/4/2023,Koala,CI,202301,1078784,OM Owens & Minor,,1078784,OM Owens & Minor,SANFORD HEALTH MEDICAL CENTERSANFORD HLTH MED Center BEMIDJI GS50,20168091,90374215,Invoice,1402.5,226.5,50,70125,69898.5
1/4/2023,Kiwi,CI,202301,1078784,OM Owens & Minor,,1078784,OM Owens & Minor,"DHA FORT STEWARTDHA FORT STEWART, WINN ARMY-NUS",20168091,90374216,Invoice,2100,384.6,60,126000,125615.4
1/4/2023,Koala,CI,202301,1078784,OM Owens & Minor,,1078784,OM Owens & Minor,DENVER HEALTH MED TXF-77NOV LUMJIT CENTRAL SUPPLY,20168091,90374217,Invoice,1122,181.2,40,44880,44698.8
1/4/2023,Koala,CI,202301,1078784,OM Owens & Minor,,1078784,OM Owens & Minor,MEMORIAL HOSPITAL OF LAS CRUCESMEMORIAL HOSPITAL OF LAS CRUCES,20168091,90374218,Invoice,561,90.6,20,11220,11129.4
1/4/2023,Koala,CI,202301,1078784,OM Owens & Minor,,1078784,OM Owens & Minor,UPMC HEALTH SYSTEMINVENTORY,20168091,90374219,Invoice,1402.5,226.5,50,70125,69898.5
1/4/2023,Koala,CI,202301,1078784,OM Owens & Minor,,1078784,OM Owens & Minor,UNIV OF MISSISSIPPI MEDICAL Center LUMUNIV OF MISSISSIPPI MED Center DOCK 1,20168091,90374220,Invoice,841.5,135.9,30,25245,25109.1
